elapsed_s,chamber_f,meat_f,ssr
2,72.94999695,74.84999847,1
4,72.94999695,75.30000305,1
6,72.94999695,76.19999695,1
8,72.94999695,74.40000153,1
10,72.94999695,75.75,1
12,73.40000153,75.30000305,1
14,73.40000153,75.30000305,1
16,73.40000153,75.75,1
18,73.40000153,76.19999695,1
20,73.40000153,76.65000153,1
22,73.84999847,76.19999695,1
24,73.40000153,76.19999695,1
26,73.40000153,76.19999695,1
28,73.40000153,76.19999695,1
30,73.84999847,76.65000153,1
32,73.84999847,76.19999695,1
34,73.84999847,77.09999847,1
36,74.30000305,77.09999847,1
38,74.30000305,77.09999847,1
40,74.30000305,77.09999847,1
42,74.75,77.09999847,1
44,74.75,78,1
46,75.19999695,78,1
48,75.19999695,78.44999695,1
50,75.19999695,78,1
52,75.65000153,78.44999695,1
54,75.65000153,78,1
56,75.65000153,78.44999695,1
58,76.55000305,79.34999847,1
60,77,79.34999847,1
62,77,78.90000153,1
64,77.44999695,79.34999847,1
66,77.90000153,80.25,1
68,77.90000153,80.69999695,1
70,77.90000153,81.59999847,1
72,79.25,82.05000305,1
74,79.69999695,82.94999695,1
76,80.15000153,83.84999847,1
78,81.05000305,84.75,1
80,81.5,86.09999847,1
82,81.5,86.55000305,1
84,82.40000153,87,1
86,82.84999847,87.90000153,1
88,83.75,88.80000305,1
90,84.19999695,90.15000153,1
92,84.19999695,90.15000153,1
94,84.19999695,92.40000153,1
96,86.90000153,92.40000153,1
98,87.80000305,93.75,1
100,88.69999695,94.65000153,1
102,89.15000153,95.09999847,1
104,90.05000305,96.90000153,1
106,90.05000305,96.44999695,1
108,90.05000305,98.25,1
110,93.19999695,99.59999847,1
112,93.65000153,101.4000015,1
114,94.55000305,101.8499985,1
116,94.55000305,103.6500015,1
118,94.55000305,104.0999985,1
120,97.69999695,104.5500031,1
122,98.59999847,105.9000015,1
124,99.5,106.8000031,1
126,100.4000015,107.6999969,1
128,100.4000015,107.6999969,1
130,102.1999969,107.6999969,1
132,103.0999985,109.0500031,1
134,103.0999985,109.0500031,1
136,104.4499969,109.0500031,1
138,105.3499985,109.0500031,1
140,105.8000031,111.75,1
142,106.25,113.0999985,1
144,106.25,114.4499969,1
146,107.1500015,114.4499969,1
148,107.5999985,114.4499969,1
150,108.0500031,116.6999969,1
152,108.5,116.6999969,1
154,109.4000015,116.6999969,1
156,109.8499985,116.6999969,1
158,110.75,117.5999985,1
160,111.1999969,118.5,1
162,112.5500031,118.5,1
164,113.4499969,120.75,1
166,114.3499985,120.75,1
168,115.25,120.75,1
170,116.1500015,120.75,1
172,117.0500031,123.9000015,1
174,117.9499969,125.25,1
176,118.4000015,125.25,1
178,119.3000031,125.25,1
180,119.75,127.9499969,1
182,120.6500015,128.3999939,1
184,121.5500031,128.3999939,1
186,122,128.3999939,1
188,122.4499969,128.3999939,1
190,122.9000015,130.1999969,1
192,123.8000031,131.1000061,1
194,124.6999969,131.1000061,1
196,125.1500015,131.1000061,1
198,125.5999985,131.1000061,1
200,126.5,133.3500061,1
202,126.9499969,134.6999969,1
204,127.8499985,134.6999969,1
206,128.75,134.6999969,1
208,129.1999969,134.6999969,1
210,129.6499939,138.3000031,1
212,130.5500031,138.75,1
214,131.4499969,140.5500031,1
216,131.8999939,141,1
218,132.8000031,141,1
220,133.6999969,141,1
222,134.6000061,141,1
224,135.0500031,144.1499939,1
226,135.9499969,144.1499939,1
228,136.3999939,144.1499939,1
230,136.8500061,144.1499939,1
232,137.3000031,145.5,1
234,138.1999969,145.5,1
236,138.6499939,145.5,1
238,139.5500031,145.5,1
240,140,147.3000031,1
242,140.8999939,148.1999969,1
244,141.8000031,148.1999969,1
246,142.6999969,148.1999969,1
248,143.6000061,150,1
250,144.5,150.4499969,1
252,144.9499969,150.4499969,1
254,145.8500061,150.4499969,1
256,146.75,150.4499969,1
258,147.6499939,153.6000061,1
260,148.1000061,153.6000061,1
262,149,153.6000061,1
264,149.4499969,153.6000061,1
266,150.8000031,153.6000061,1
268,151.25,153.6000061,1
270,152.1499939,160.3500061,1
272,152.6000061,160.3500061,1
274,153.5,160.3500061,1
276,153.9499969,160.3500061,1
278,154.8500061,162.6000061,1
280,155.3000031,162.6000061,1
282,155.75,162.6000061,1
284,156.1999969,162.6000061,1
286,156.6499939,162.6000061,1
288,157.5500031,165.75,1
290,158,165.75,1
292,158.4499969,165.75,1
294,158.8999939,165.75,1
296,159.3500061,168.4499969,1
298,159.8000031,168.4499969,1
300,160.25,168.4499969,1
302,160.6999969,168.4499969,1
304,161.1499939,170.6999969,1
306,161.1499939,170.6999969,1
308,161.1499939,171.1499939,1
310,161.1499939,171.6000061,1
312,161.1499939,171.6000061,1
314,161.1499939,171.6000061,1
316,161.1499939,171.6000061,1
318,161.1499939,171.6000061,1
320,161.1499939,171.6000061,1
322,161.1499939,171.6000061,1
324,161.1499939,171.6000061,1
326,161.1499939,171.6000061,1
328,167.8999939,177.8999939,1
330,167.8999939,178.3500061,1
332,167.8999939,179.25,1
334,167.8999939,179.25,1
336,167.8999939,181.0500031,1
338,167.8999939,181.9499969,1
340,171.5,181.9499969,1
342,172.3999939,181.9499969,1
344,172.3999939,182.8500061,1
346,172.3999939,184.1999969,1
348,172.3999939,183.75,1
350,172.3999939,185.5500031,1
352,172.3999939,185.1000061,1
354,176,185.1000061,1
356,176.4499969,185.1000061,1
358,176.4499969,186.4499969,1
360,176.4499969,187.8000031,1
362,176.4499969,187.3500061,1
364,177.8000031,188.25,1
366,177.8000031,188.25,1
368,178.25,189.1499939,1
376,178.25,189.6000061,1
378,178.25,188.25,1
378,178.25,188.6999969,1
378,178.25,188.6999969,1
378,178.25,188.6999969,1
384,178.25,188.6999969,1
385,178.25,188.6999969,1
385,178.25,188.6999969,1
386,178.25,188.6999969,1
388,178.25,188.6999969,1
390,178.25,188.6999969,1
392,178.25,188.6999969,1
394,178.25,188.6999969,1
396,178.25,188.6999969,1
398,178.25,188.6999969,1
400,178.25,188.6999969,1
402,178.25,188.6999969,1
404,178.25,188.6999969,1
406,178.25,188.6999969,1
408,178.25,188.6999969,1
410,178.25,188.6999969,1
412,178.25,188.6999969,1
414,178.25,188.6999969,1
416,188.1499939,195.4499969,1
418,188.1499939,195,1
420,188.6000061,197.6999969,1
422,189.0500031,197.25,1
424,189.5,198.6000061,1
426,189.5,198.6000061,1
428,189.9499969,198.6000061,1
430,190.3999939,199.5,1
432,190.8500061,199.9499969,1
434,190.8500061,199.9499969,1
436,191.3000031,200.8500061,1
438,191.3000031,200.8500061,1
440,191.75,201.3000031,1
442,192.1999969,201.3000031,1
444,192.1999969,202.6499939,1
446,192.6499939,204.4499969,1
448,192.6499939,203.1000061,1
450,193.1000061,204,1
452,193.1000061,203.5500031,1
454,193.5500031,206.25,1
456,194,205.3500061,1
458,194,204.4499969,1
460,194.4499969,204.8999939,1
462,194.4499969,201.75,1
464,194.8999939,201.3000031,1
466,194.8999939,204.4499969,1
468,195.3500061,201.3000031,1
471,195.3500061,195.8999939,1
472,195.3500061,196.3500061,1
483,195.8000031,193.6499939,1
483,195.8000031,195,1
483,196.25,199.5,1
483,196.25,198.6000061,1
483,196.25,200.3999939,1
485,196.6999969,200.8500061,1
486,196.6999969,200.3999939,1
494,196.6999969,199.5,1
497,196.6999969,200.8500061,1
501,196.6999969,200.3999939,1
501,196.6999969,200.3999939,1
501,196.6999969,200.3999939,1
501,196.6999969,199.0500031,1
501,196.6999969,199.5,1
502,196.6999969,199.5,1
504,196.6999969,200.3999939,1
506,196.6999969,199.5,1
508,196.6999969,200.3999939,1
510,196.6999969,200.3999939,1
512,196.6999969,201.3000031,1
514,196.6999969,200.3999939,1
516,196.6999969,199.5,1
520,196.6999969,199.5,1
520,196.6999969,199.5,1
523,196.6999969,199.5,1
528,196.6999969,198.1499939,1
528,196.25,197.6999969,1
528,196.6999969,197.6999969,1
